,sim_num,date_quarantined,q_on_ind_on,q_on_ind_off,q_on_ind_on_off,q_off_ind_on,q_off_ind_off,q_off_ind_on_off
511,4,2020-11-20,2,0,0,0,0,0
512,4,2020-11-21,0,0,0,0,0,0
513,4,2020-11-22,0,0,0,0,0,0
514,4,2020-11-23,1,0,0,0,0,0
515,4,2020-11-24,0,0,0,0,0,0
516,4,2020-11-25,1,0,0,0,0,0
517,4,2020-11-26,0,0,0,0,0,0
518,4,2020-11-27,1,0,0,0,0,0
519,4,2020-11-28,0,0,0,0,0,0
520,4,2020-11-29,0,0,0,0,0,0
521,4,2020-11-30,1,0,0,0,0,0
522,4,2020-12-01,6,0,0,0,0,0
523,4,2020-12-02,0,0,0,0,0,0
524,4,2020-12-03,0,0,0,0,0,0
525,4,2020-12-04,0,0,0,0,0,0
526,4,2020-12-05,11,0,0,0,0,0
527,4,2020-12-06,0,0,0,0,0,0
528,4,2020-12-07,0,0,0,0,0,0
529,4,2020-12-08,0,0,0,0,0,0
530,4,2020-12-09,0,0,0,0,0,0
531,4,2020-12-10,0,0,0,0,0,0
532,4,2020-12-11,0,0,0,0,0,0
533,4,2020-12-12,0,0,0,0,0,0
534,4,2020-12-13,0,0,0,0,0,0
535,4,2020-12-14,8,0,0,0,0,0
536,4,2020-12-15,2,0,0,0,0,0
537,4,2020-12-16,5,0,1,0,0,0
538,4,2020-12-17,4,0,0,0,0,0
539,4,2020-12-18,0,0,0,0,0,0
540,5,2020-09-02,0,0,0,0,0,0
541,5,2020-09-03,0,0,0,0,0,0
542,5,2020-09-04,0,0,0,0,0,0
543,5,2020-09-05,0,0,0,0,0,0
544,5,2020-09-06,0,0,0,0,0,0
545,5,2020-09-07,5,0,0,0,0,0
546,5,2020-09-08,0,0,0,0,0,0
547,5,2020-09-09,0,0,0,0,0,0
548,5,2020-09-10,0,0,0,0,0,0
549,5,2020-09-11,0,0,0,0,0,0
550,5,2020-09-12,0,0,0,1,0,0
551,5,2020-09-13,0,0,0,0,0,0
552,5,2020-09-14,1,0,0,0,0,0
553,5,2020-09-15,0,0,0,0,0,0
554,5,2020-09-16,0,0,0,0,0,0
555,5,2020-09-17,0,0,0,0,0,0
556,5,2020-09-18,0,0,0,0,0,0
557,5,2020-09-19,0,0,0,0,0,0
558,5,2020-09-20,3,0,0,0,0,0
559,5,2020-09-21,2,0,0,0,0,0
560,5,2020-09-22,7,0,0,0,0,0
561,5,2020-09-23,0,0,0,0,0,0
562,5,2020-09-24,0,0,0,0,0,0
563,5,2020-09-25,0,0,0,0,0,0
564,5,2020-09-26,0,0,0,0,0,0
565,5,2020-09-27,0,0,0,0,0,0
566,5,2020-09-28,1,0,0,0,0,0
567,5,2020-09-29,0,0,0,0,0,0
568,5,2020-09-30,0,0,0,0,0,0
569,5,2020-10-01,0,0,0,0,0,0
570,5,2020-10-02,1,0,0,0,0,0
571,5,2020-10-03,0,0,0,0,1,0
572,5,2020-10-04,15,0,0,0,0,0
573,5,2020-10-05,0,0,0,0,0,0
574,5,2020-10-06,1,0,0,0,0,0
575,5,2020-10-07,0,0,0,0,0,0
576,5,2020-10-08,0,0,0,0,0,0
577,5,2020-10-09,12,0,0,0,0,0
578,5,2020-10-10,1,0,0,0,0,0
579,5,2020-10-11,0,0,0,0,0,0
580,5,2020-10-12,1,0,0,0,0,0
581,5,2020-10-13,0,0,0,0,0,0
582,5,2020-10-14,2,0,0,0,0,0
583,5,2020-10-15,0,0,0,0,0,0
584,5,2020-10-16,0,0,0,0,0,0
585,5,2020-10-17,0,0,0,0,0,0
586,5,2020-10-18,2,0,0,0,0,0
587,5,2020-10-19,2,0,0,0,0,0
588,5,2020-10-20,0,0,0,0,0,0
589,5,2020-10-21,0,0,0,0,0,0
